DateTime,Qheating_building_W,Tair_zoneNorth_K,Tair_zoneCore_K,Tair_zoneSouth_K,heatsys1.schedule1.Tset1,heatsys1.schedule1.Tset2,heatsys1.schedule1.Tset3
205800,50000,294.15265,291.13953,294.1784,294.15,291.15,294.15
206400,50000,293.87265,291.40292,293.91183,294.15,291.15,294.15
207000,50000,294.17328,291.18066,294.22336,294.15,291.15,294.15
207600,66000,293.9105,290.98495,293.96957,294.15,291.15,294.15
208200,25000,294.2282,291.23764,294.29324,294.15,291.15,294.15
208800,66000,293.97977,291.03424,294.10507,294.15,291.15,294.15
209400,25000,294.30344,291.28082,293.91043,294.15,291.15,294.15
210000,25000,294.1174,291.07285,294.27313,294.15,291.15,294.15
210600,50000,293.92303,291.346,294.11407,294.15,291.15,294.15
211200,25000,294.28668,291.13147,293.94067,294.15,291.15,294.15
211800,25000,294.13086,291.39752,294.31827,294.15,291.15,294.15
212400,50000,293.95657,291.17615,294.17004,294.15,291.15,294.15
213000,41000,294.33646,290.98404,293.99713,294.15,291.15,294.15
213600,25000,294.19162,291.2409,294.3805,294.15,291.15,294.15
214200,66000,294.0269,291.04126,294.23233,294.15,291.15,294.15
214800,0,294.409,291.29306,294.07,294.15,291.15,294.15
215400,50000,293.7643,291.0887,294.00812,294.15,291.15,294.15
216000,25000,294.21936,291.36453,294.4113,294.15,291.15,294.15
216600,25000,294.0709,291.15338,293.7786,294.15,291.15,294.15
217200,66000,294.0206,290.97015,294.24084,294.15,291.15,294.15
217800,0,294.43036,291.2334,294.10062,294.15,291.15,294.15
218400,66000,293.7995,291.03952,294.0519,294.15,291.15,294.15
219000,25000,294.2716,291.29477,293.96365,294.15,291.15,294.15
219600,25000,294.19748,291.09354,294.4066,294.15,291.15,294.15
220200,25000,294.0839,291.37292,293.79706,294.15,291.15,294.15
220800,25000,294.05786,291.16586,294.28265,294.15,291.15,294.15
221400,66000,293.97922,290.98505,294.22232,294.15,291.15,294.15
222000,0,294.42996,291.25204,294.11703,294.15,291.15,294.15
222600,50000,293.82602,291.06012,294.0977,294.15,291.15,294.15
223200,25000,294.32156,291.3485,294.02722,294.15,291.15,294.15
223800,25000,294.26215,291.1478,293.97415,294.15,291.15,294.15
224400,41000,294.21683,290.97327,294.44214,294.15,291.15,294.15
225000,25000,294.12265,291.24457,293.85303,294.15,291.15,294.15
225600,25000,294.11212,291.05746,294.35693,294.15,291.15,294.15
226200,50000,294.04953,291.34933,293.7922,294.15,291.15,294.15
226800,25000,294.00183,291.15213,294.30783,294.15,291.15,294.15
227400,41000,293.96384,290.9801,294.26337,294.15,291.15,294.15
228000,25000,294.44138,291.25488,294.2267,294.15,291.15,294.15
228600,25000,293.85883,291.06998,294.13647,294.15,291.15,294.15
229200,25000,294.36563,291.36334,294.12906,294.15,291.15,294.15
229800,25000,293.80386,291.16736,294.06927,294.15,291.15,294.15
230400,41000,294.31915,290.99615,294.08157,294.15,291.15,294.15
231000,25000,294.27286,291.2714,294.03162,294.15,291.15,294.15
231600,50000,294.23834,291.08734,293.99225,294.15,291.15,294.15
232200,0,294.15436,291.38016,294.46875,294.15,291.15,294.15
232800,50000,294.1466,291.1838,293.885,294.15,291.15,294.15
233400,16000,294.08414,291.0126,294.3914,294.15,291.15,294.15
234000,50000,294.09546,291.28857,293.831,294.15,291.15,294.15
234600,25000,294.04852,291.10507,294.34943,294.15,291.15,294.15
235200,50000,294.01108,291.39978,293.7979,294.15,291.15,294.15
235800,25000,293.98462,291.20428,294.32483,294.15,291.15,294.15
236400,16000,294.47003,291.03375,294.28906,294.15,291.15,294.15
237000,25000,293.89444,291.3089,294.2645,294.15,291.15,294.15
237600,0,294.40558,291.125,294.2453,291.15,291.15,291.15
238200,0,293.7693,291.4188,293.64304,291.15,291.15,291.15
238800,0,293.27347,291.2242,293.1712,291.15,291.15,291.15
239400,0,292.86752,291.0522,292.78296,291.15,291.15,291.15
240000,0,292.5382,291.35626,292.46616,291.15,291.15,291.15
240600,0,292.26205,291.17297,292.19867,291.15,291.15,291.15
241200,16000,292.0202,291.01242,291.9635,291.15,291.15,291.15
241800,0,291.80447,291.29413,291.75424,291.15,291.15,291.15
242400,0,291.6196,291.11972,291.5749,291.15,291.15,291.15
243000,0,291.45392,291.41843,291.41415,291.15,291.15,291.15
243600,0,291.30984,291.228,291.27426,291.15,291.15,291.15
244200,0,291.18277,291.06146,291.1508,291.15,291.15,291.15
244800,25000,291.06796,291.366,291.03903,291.15,291.15,291.15
245400,0,291.4761,291.17944,291.40408,291.15,291.15,291.15
246000,16000,291.2947,291.01752,291.2319,291.15,291.15,291.15
246600,0,291.13495,291.29865,291.08173,291.15,291.15,291.15
247200,25000,290.99744,291.12003,291.4653,291.15,291.15,291.15
247800,0,291.3433,291.41565,291.262,291.15,291.15,291.15
