Time [s],T office north [K],T office south [K],T corridor [K],heating power office north [W],heating power office south [W],heating power corridor [W],cooling power office north [W],cooling power office south [W],cooling power corridor [W]
216000,293.1715,293.16974,290.15,18766.031,18581.186,243.34445,0,0,0
216600,293.1677,293.16632,290.14618,18602.096,18430.236,263.95804,0,0,0
217200,293.16528,293.16415,290.14505,18462.375,18300.836,294.44272,0,0,0
217800,293.1644,293.16345,290.14636,18332.85,18179.885,319.01288,0,0,0
218400,293.16464,293.16382,290.14917,18202.178,18056.715,327.13574,0,0,0
219000,293.16544,293.1647,290.1524,18064.701,17926.086,315.59863,0,0,0
219600,293.16626,293.16556,290.15503,17920.096,17787.855,287.5643,0,0,0
220200,293.1665,293.16586,290.15616,17771.467,17645.135,250.50299,0,0,0
220800,293.1661,293.16553,290.1558,17624.818,17503.867,213.86913,0,0,0
221400,293.1652,293.16467,290.15427,17485.418,17369.273,184.9723,0,0,0
222000,293.164,293.1635,290.15244,17357.03,17245.111,167.7011,0,0,0
222600,293.16275,293.16235,290.151,17240.324,17132.139,160.41238,0,0,0
223200,293.1616,293.16122,290.15036,17134.568,17029.738,158.31773,0,0,0
223800,293.16034,293.16,290.1505,17039.945,16938.195,156.24658,0,0,0
224400,293.15857,293.15826,290.15118,16960.045,16861.178,150.48866,0,0,0
225000,293.15604,293.15573,290.15195,16901.29,16805.162,139.77478,0,0,0
225600,293.1529,293.15262,290.15253,16869.684,16776.178,125.14375,0,0,0
226200,293.14954,293.14926,290.15265,16868.248,16777.256,109.01544,0,0,0
226800,293.14642,293.14615,290.1524,16895.865,16807.273,94.04248,0,0,0
227400,293.14386,293.14362,290.15186,16947.822,16861.51,82.15638,0,0,0
228000,293.14185,293.1416,290.15125,17018.861,16934.701,74.171,0,0,0
228600,293.1403,293.14008,290.15067,17104.371,17022.244,69.78756,0,0,0
229200,293.13953,293.1393,290.15027,17197.879,17117.69,67.90356,0,0,0
229800,293.14,293.13983,290.15018,17289.219,17210.893,66.928474,0,0,0
230400,293.142,293.14178,290.15036,17365.557,17289.033,65.11034,0,0,0
231000,293.14523,293.14505,290.1508,17414.598,17339.82,60.915436,0,0,0
231600,293.14905,293.14886,290.15134,17429.361,17356.27,53.476326,0,0,0
232200,293.15247,293.15228,290.15182,17411.62,17340.152,42.93568,0,0,0
232800,293.15463,293.15445,290.1521,17371.611,17301.717,30.411299,0,0,0
233400,293.1552,293.15503,290.1521,17323.979,17255.627,17.56863,0,0,0
234000,293.1542,293.15402,290.15186,17283.346,17216.53,6.0938606,0,0,0
234600,293.15204,293.1519,290.15143,17260.95,17195.674,0,0,0,0
235200,293.14963,293.14948,290.15125,17260.861,17197.135,0,0,0,0
